Webpage Links / Website Link	Page Name
https://tkrcet.ac.in/code-of-conduct/	Code of Conduct

# ============================================================
# DEPARTMENTS
# ============================================================

https://tkrcet.ac.in/civil-engineering/	Civil Engineering (CE)
https://tkrcet.ac.in/mechanical-engineering/	Mechanical Engineering
https://tkrcet.ac.in/electrical-electronics-engineering/	Electrical & Electronics Engineering (EEE)
https://tkrcet.ac.in/electronics-communication-engineering/	Electronics & Communication Engineering (ECE)
https://tkrcet.ac.in/computer-science-and-engineering/	Computer Science and Engineering (CSE)
https://tkrcet.ac.in/cse-aimlcsm/	CSE - Artificial Intelligence & Machine Learning (CSE-AIML / CSM)
https://tkrcet.ac.in/cse-ds-csd/	CSE - Data Science (CSD)
https://tkrcet.ac.in/it/	Information Technology (IT)
https://tkrcet.ac.in/mba/	MBA
https://tkrcet.ac.in/humanities-sciences/	Humanities & Sciences
https://tkrcet.ac.in/diploma/	Diploma

# ============================================================
# LIBRARY
# ============================================================

https://tkrcet.ac.in/library/	Library Home
https://tkrcet.ac.in/library/introduction/our-team/	Library Team
https://tkrcet.ac.in/library/downloads/	Library Downloads
https://tkrcet.ac.in/library/gallary-2/	Library Gallery
https://tkrcet.ac.in/library/library-resources/	Library Resources
https://tkrcet.ac.in/library/digital-library/	Digital Library
https://tkrcet.ac.in/library/library-committee/	Library Advisory Committee
https://tkrcet.ac.in/library/library-sections/	Library Sections
https://tkrcet.ac.in/library/introduction/layout-floor-plan/	Library Layout & Floor Plan
https://tkrcet.ac.in/library/downloads/syllabus-question-papers/	Question Papers (Library)
https://tkrcet.ac.in/e-resources/	E-Resources
https://nlist.inflibnet.ac.in/veresources.php	E-Resources @ N-LIST (External)
https://ieeexplore.ieee.org/Xplore/guesthome.jsp	IEEE Xplore (External)

# ============================================================
# RESEARCH
# ============================================================

https://tkrcet.ac.in/rd/	Research & Development / Research & Innovation Cell
https://tkrcet.ac.in/research-2/	Research & Innovation Cell (Alt)

# ============================================================
# EXAMINATIONS
# ============================================================

https://tkrcetexams.com/aboutus.php	About Exam Branch
https://www.tkrcetautonomous.org/	Students Portal (Autonomous)
https://tkrcetexams.com/rolllist.php	Students List
https://tkrcetexams.com/internalmarks.php	Internal Marks
https://tkrcet.ac.in/notifications/	Notifications
https://tkrcet.ac.in/time-tables/	Time Tables
https://tkrcet.ac.in/downloads/	Downloads
https://tkrcet.ac.in/swayam-course/	Swayam Course
https://tkrcet.ac.in/rc-rv-cv-guidelines/	RC / RV / CV Guidelines
https://tkrcet.ac.in/student-placed-details/	Student Verification / Degree Verification
https://tkrcet.ac.in/cbt-results/	CBT Results

# ============================================================
# PLACEMENTS
# ============================================================

https://tkrcet.ac.in/placement-team/	Placements Home / Placement Team
https://tkrcet.ac.in/placement-news/student-placement-details	Placed Student Details List

# ============================================================
# FACILITIES
# ============================================================

https://tkrcet.ac.in/transport/	Transport
https://tkrcet.ac.in/virtual-lab/	Virtual Lab
https://tkrcet.ac.in/incubation-center/	Incubation Center
https://tkrcet.ac.in/incubation-center/msme/	Incubation Center / MSME
https://tkrcet.ac.in/wp-content/uploads/2020/02/MSME.pdf	MSME (PDF)
https://tkrcet.ac.in/magazine/	Magazine
https://tkrcet.ac.in/auditorium/	Auditorium (Mini & Open Air)
https://tkrcet.ac.in/hostel/	Hostel (Boys & Girls)
https://tkrcet.ac.in/sports/	Sports
https://tkrcet.ac.in/bank-atm/	Bank & ATM
https://tkrcet.ac.in/press-media-coverage/	Press & Media Coverage

# ============================================================
# NCC
# ============================================================

https://tkrcet.ac.in/about-ncc-2/	About NCC
https://tkrcet.ac.in/ncc-admissions/	NCC Admissions
https://tkrcet.ac.in/ncc-events/	NCC Events

# ============================================================
# NSS
# ============================================================

https://tkrcet.ac.in/events/nss/	NSS
https://tkrcet.ac.in/nss-2024/	NSS Events 2024

# ============================================================
# EVENTS
# ============================================================

https://tkrcet.ac.in/events/	Events Home
https://tkrcet.ac.in/events-2/	Events (All)
https://tkrcet.ac.in/events-2022/	Events 2021-22
https://tkrcet.ac.in/2022-2023-events/	Events 2022-23
https://tkrcet.ac.in/2024-events/	Events 2024
https://tkrcet.ac.in/events-2025/	Events 2025
https://tkrcet.ac.in/achievements/	Achievements

# ============================================================
# PROFESSIONAL SOCIETIES
# ============================================================

https://tkrcet.ac.in/ieee-student-chapter/	IEEE Student Chapter
https://tkrcet.ac.in/csi-chapter/	CSI Chapter
https://tkrcet.ac.in/ieee-pels/	IEEE-PELS

# ============================================================
# COMMITTEES
# ============================================================

https://tkrcet.ac.in/committees/	Committees (All)
https://tkrcet.ac.in/board-of-governors/	Board of Governors
https://tkrcet.ac.in/members-of-academic-council/	Academic Council Members
https://tkrcet.ac.in/finance-committe/	Finance Committee
https://tkrcet.ac.in/examination-committee/	Examination Committee
https://tkrcet.ac.in/complaint-cell/	Complaint Cell / Grievance Redressal Committee
https://tkrcet.ac.in/ragging-committee/	Anti-Ragging Committee
https://tkrcet.ac.in/sexual-harassments/	Sexual Harassment Committee (ICC)
https://tkrcet.ac.in/student-welfare/	Student Welfare
https://tkrcet.ac.in/women-cell/	Women Welfare Cell
https://tkrcet.ac.in/extra-curricular/	Extra Curricular Activities

# ============================================================
# ACCREDITATION / QUALITY
# ============================================================

https://tkrcet.ac.in/naac-2/	NAAC
https://tkrcet.ac.in/iqac-2/	IQAC
https://tkrcet.ac.in/aqar/	AQAR
https://tkrcet.ac.in/mandatory-disclosures/	Mandatory Disclosures
https://tkrcet.ac.in/wp-content/uploads/2024/09/MANDATORY-DISCLOSURE-2024-main_c.pdf	Mandatory Disclosure 2024 (PDF)
https://tkrcet.ac.in/wp-content/uploads/2022/04/MANDATORY-DISCLOSURE-2022-main.pdf	Mandatory Disclosure 2022 (PDF)

# ============================================================
# GOVERNANCE DOCUMENTS
# ============================================================

https://tkrcet.ac.in/wp-content/uploads/2019/02/Good-Governance-Doc.pdf	Good Governance Document (PDF)
https://tkrcet.ac.in/wp-content/uploads/2023/04/program_development_document.pdf	Strategic Plan & Program Development Document (PDF)
https://tkrcet.ac.in/wp-content/uploads/2019/02/TKRCET_Routemap.pdf	Route Map (PDF)
https://tkrcet.ac.in/wp-content/uploads/2020/10/TKRCET.pdf	NRF Management Document (PDF)
https://tkrcet.ac.in/rti/	RTI (Right to Information)

# ============================================================
# ATTENDANCE
# ============================================================

http://103.171.190.44/TKRCET/MainFrameset.php	Attendance Login (Internal)

# ============================================================
# FEEDBACK
# ============================================================

https://tkrcet.ac.in/feedbak/	Feedback

# ============================================================
# OTHER / GENERAL
# ============================================================

https://tkrcet.ac.in/alumni-sub-domain/	Alumni
https://tkrcet.ac.in/contact/	Contact Us
https://tkrcet.ac.in/complaint-cell/	Complaint Cell

# ============================================================
# SOCIAL MEDIA
# ============================================================

https://www.youtube.com/channel/UCFPnZEAARsUJCSq7F-Oc7Xw	YouTube Channel
https://www.instagram.com/tkrgroupofinstitutions/	Instagram (TKR Group)
https://in.linkedin.com/company/tkr-college-of-engineering-technolog	LinkedIn
https://www.instagram.com/tkrcet.k9?igsh=MWNiejN3NDk1YmJnMA==	Instagram (TKRCET)
https://twitter.com/hashtag/tkrcet?lang=en	X (Twitter)
https://www.facebook.com/TKRCollegeofEngineeringAndTechnology	Facebook
